stage,discharge_cycle_id,capacity_ratio,method,rmse,stage_order
early,1,1.0,Fixed-Capacity FGO,0.0168829892354153,0
early,1,1.0,Nominal-Capacity CC,6.960533198605949e-17,0
early,1,1.0,Physical CA-FGO,0.0080932045294141,0
middle,84,0.8343035835418967,Fixed-Capacity FGO,0.0889461348321849,1
middle,84,0.8343035835418967,Nominal-Capacity CC,0.1040893998945625,1
middle,84,0.8343035835418967,Physical CA-FGO,0.008888244288559,1
late,168,0.7137561578838875,Fixed-Capacity FGO,0.18365102727638,2
late,168,0.7137561578838875,Nominal-Capacity CC,0.1880640738202204,2
late,168,0.7137561578838875,Physical CA-FGO,0.0196480928463408,2
