battery_id,stage,discharge_cycle_id,cycle_capacity_ah,nominal_capacity_ah,estimated_capacity_ah,capacity_ratio,estimated_capacity_ratio,capacity_estimation_error_ah,capacity_estimation_error_percent,method,rmse,mae,max_error,std_error,mean_error,num_samples,num_mono_violations,max_soc_increase,optimizer_cost,optimizer_nfev,optimizer_success
B0005,early,1,1.8564874208181572,1.8564874208181572,,1.0,,,,Nominal-Capacity CC,6.960533198605949e-17,4.9197462234936145e-17,2.220446049250313e-16,5.538984808836432e-17,-4.215289989594404e-17,197,,,,,
B0005,early,1,1.8564874208181572,1.8564874208181572,1.8288012950601606,1.0,0.9850868228636878,-0.02768612575799656,-1.4913177136312206,Physical CA-FGO,0.008093204529414179,0.006635680682681738,0.0149131700993367,0.00463332509461775,-0.006635680682681738,197,0.0,0.0,10.296322452230813,32.0,True
B0005,middle,84,1.5488741079890418,1.8564874208181572,,0.8343035835418967,,,,Nominal-Capacity CC,0.10408939989456256,0.09036307977121522,0.1654260279192284,0.05166349760392879,0.09036307977121522,329,,,,,
B0005,middle,84,1.5488741079890418,1.8564874208181572,1.5717366755464064,0.8343035835418967,0.846618543126858,0.0228625675573646,1.476076553894227,Physical CA-FGO,0.008888244288559085,0.0077668610936886436,0.01452231793493159,0.004321661171870007,0.0077668610936886436,329,0.0,-2.110792995946298e-08,55.99321127856219,5.0,True
B0005,late,168,1.3250793286429356,1.8564874208181572,,0.7137561578838875,,,,Nominal-Capacity CC,0.18806407382022045,0.16401027981540864,0.28571302520425035,0.09202567020526767,0.16401027981540864,300,,,,,
B0005,late,168,1.3250793286429356,1.8564874208181572,1.3668988719793982,0.7137561578838875,0.7362823236243656,0.04181954333646254,3.1560029978953437,Physical CA-FGO,0.019648092846340885,0.017224105328646277,0.03053773260482908,0.009453980543989441,0.017224105328646277,300,0.0,-2.286847008425852e-07,106.60082645112183,8.0,True
B0006,early,1,2.035337591005598,2.035337591005598,,1.0,,,,Nominal-Capacity CC,3.537615831830947e-17,1.8183776537523383e-17,1.1102230246251565e-16,3.213038947581983e-17,1.4802386614807173e-17,197,,,,,
B0006,early,1,2.035337591005598,2.035337591005598,2.04573298740441,1.0,1.0051074556106812,0.010395396398811929,0.5107455610681215,Physical CA-FGO,0.0028718122632667275,0.002464580806228144,0.00506612288747125,0.0014741598030814007,0.002464580806228144,197,0.0,-9.88367275023272e-07,3.6471916605269303,5.0,True
B0006,middle,84,1.4675164935067897,2.035337591005598,,0.7210187145326269,,,,Nominal-Capacity CC,0.18095277023463288,0.15791613075097075,0.2785254036581326,0.0883538380843196,0.15791613075097075,329,,,,,
B0006,middle,84,1.4675164935067897,2.035337591005598,1.5504074770814213,0.7210187145326269,0.7617446284748333,0.08289098357463165,5.6483851419315,Physical CA-FGO,0.03320419958954209,0.02923272921416322,0.053376633620609376,0.015746949325934716,0.02923272921416322,329,0.0,-2.34960065848e-08,165.17925190178107,6.0,True
B0006,late,168,1.1856752327929356,2.035337591005598,,0.582544752296905,,,,Nominal-Capacity CC,0.2897300081219328,0.2557354840901962,0.4166125738994437,0.13617209619994922,0.2557354840901962,300,,,,,
B0006,late,168,1.1856752327929356,2.035337591005598,1.319971772495473,0.582544752296905,0.6485271919157722,0.1342965397025373,11.326587246508726,Physical CA-FGO,0.06678505397553378,0.05951702893061546,0.10153660247705346,0.030297965307710697,0.05951702893061546,300,0.0,-4.328418724552918e-07,330.3741731178486,12.0,True
B0007,early,1,1.89105229539079,1.89105229539079,,1.0,,,,Nominal-Capacity CC,3.299982527954097e-17,1.5209650375030153e-17,1.1102230246251565e-16,3.121657051905993e-17,1.0701130478075202e-17,197,,,,,
B0007,early,1,1.89105229539079,1.89105229539079,1.8953496195174129,1.0,1.0022724512363286,0.00429732412662287,0.22724512363286173,Physical CA-FGO,0.0012449704283934613,0.0010346855268541617,0.0022601465976722396,0.0006923707302397496,0.0010346855268541617,197,0.0,0.0,14.83354408883398,4.0,True
B0007,middle,84,1.6108655863730026,1.89105229539079,,0.851835557535501,,,,Nominal-Capacity CC,0.08880156853662728,0.07700464890970227,0.14792790027635258,0.04422671840481499,0.07700464890970227,329,,,,,
B0007,middle,84,1.6108655863730026,1.89105229539079,1.5987476154871854,0.851835557535501,0.8454275005423902,-0.01211797088581723,-0.752264558156081,Physical CA-FGO,0.004213074452876909,0.003545208882909628,0.007517365796357041,0.0022762887167542553,-0.003545208882909628,329,0.0,0.0,32.51079020843126,6.0,True
B0007,late,168,1.4324552720625434,1.89105229539079,,0.7574910940083355,,,,Nominal-Capacity CC,0.14831871937104502,0.12876220494149038,0.2420860480506075,0.07361207166268606,0.12876220494149038,300,,,,,
B0007,late,168,1.4324552720625434,1.89105229539079,1.4674719833739736,0.7574910940083355,0.7760081447513419,0.03501671131143014,2.4445238880660316,Physical CA-FGO,0.013442727941721853,0.011616588273593121,0.023820320773804107,0.006764747696475325,0.011616588273593121,300,0.0,-2.3442857577382625e-07,68.45041101537073,6.0,True
B0018,early,1,1.8550045207910817,1.8550045207910817,,1.0,,,,Nominal-Capacity CC,4.108470958004332e-17,2.2795498791558618e-17,1.1102230246251565e-16,3.778933189129655e-17,1.6122027058839097e-17,366,,,,,
B0018,early,1,1.8550045207910817,1.8550045207910817,1.857426072446015,1.0,1.0013054155004972,0.002421551654933296,0.1305415500497328,Physical CA-FGO,0.000739416292718143,0.0006293959798346708,0.0013019686465503433,0.00038806849202814353,0.0006293959798346708,366,0.0,0.0,7.921497519555871,4.0,True
B0018,middle,66,1.5316232403693415,1.8550045207910817,,0.8256708936300426,,,,Nominal-Capacity CC,0.1081905962984419,0.09402223228292132,0.17397383550418108,0.05352592795971706,0.09402223228292132,259,,,,,
B0018,middle,66,1.5316232403693415,1.8550045207910817,1.5849194002097986,0.8256708936300426,0.85440190708209,0.0532961598404571,3.4797173636256042,Physical CA-FGO,0.019765942484880866,0.017322983629513275,0.033558517791744444,0.009518756246865108,0.017322983629513275,259,0.0,-2.3610299249021693e-07,49.91099346729869,6.0,True
B0018,late,132,1.341051440640485,1.8550045207910817,,0.7229370201580871,,,,Nominal-Capacity CC,0.17557481924229726,0.15269234419472538,0.2763104436009641,0.08666928623384909,0.15269234419472538,200,,,,,
B0018,late,132,1.341051440640485,1.8550045207910817,1.3932910036111181,0.7229370201580871,0.7510984409983744,0.05223956297063315,3.8954182805756936,Physical CA-FGO,0.021874535329910558,0.019224327866894344,0.03739181113286279,0.010436499124019265,0.019224327866894344,200,0.0,-4.111900711034622e-07,69.71266913986854,7.0,True
